Date;Open;High;Low;Close;Volume;Return;MA7;MA21;MA50;MA200;Volatility30;Momentum7;Cluster_3;Regime;Direction_Pred;Prob_Up;Signal;Pred_1d;Pred_30d;Pred_365d;Pred_7d;Pred_90d;PC1;PC2
2014-09-17;465.86;468.17;452.42;457.33;21056800;;;;;;;;;;;;;;;;;;;
2014-09-18;456.86;456.86;413.1;424.44;34483200;-0.071926;;;;;;;;;;;;;;;;;;
2014-09-19;424.1;427.83;384.53;394.8;37919700;-0.069843;;;;;;;;;;;;;;;;;;
2014-09-20;394.67;423.3;389.88;408.9;36863600;0.035735;;;;;;;;;;;;;;;;;;
2014-09-21;408.08;412.43;393.18;398.82;26580100;-0.024659;;;;;;;;;;;;;;;;;;
2014-09-22;399.1;406.92;397.13;402.15;24127600;0.008352;;;;;;;;;;;;;;;;;;
2014-09-23;402.09;441.56;396.2;435.79;45099500;0.083647;417.462572;;;;;;;;;;;;;;;;;
2014-09-24;435.75;436.11;421.13;423.2;30627700;-0.028881;412.586997;;;;;-0.067573;;;;;;;;;;;;
2014-09-25;423.16;423.52;409.47;411.57;26814400;-0.027483;410.748997;;;;;-0.023131;;;;;;;;;;;;
2014-09-26;411.43;414.94;400.01;404.42;21460800;-0.01737;412.124568;;;;;0.029342;;;;;;;;;;;;
2014-09-27;403.56;406.62;397.37;399.52;15029300;-0.012128;410.783997;;;;;-0.018521;;;;;;;;;;;;
2014-09-28;399.47;401.02;374.33;377.18;23613300;-0.055915;407.692566;;;;;-0.049777;;;;;;;;;;;;
2014-09-29;376.93;385.21;372.24;375.47;32497700;-0.004544;403.880423;;;;;-0.062674;;;;;;;;;;;;
2014-09-30;376.09;390.98;373.44;386.94;34707300;0.030567;396.902283;;;;;-0.115754;;;;;;;;;;;;
2014-10-01;387.43;391.38;380.78;383.61;26229400;-0.008603;391.246569;;;;;-0.095476;;;;;;;;;;;;
2014-10-02;383.99;385.5;372.95;375.07;21777700;-0.02227;386.031996;;;;;-0.090263;;;;;;;;;;;;
2014-10-03;375.18;377.7;357.86;359.51;30901200;-0.041485;379.615853;;;;;-0.114378;;;;;;;;;;;;
2014-10-04;359.89;364.49;325.89;328.87;47236500;-0.085243;369.522426;;;;;-0.187493;;;;;;;;;;;;
2014-10-05;328.92;341.8;289.3;320.51;83308096;-0.025408;361.42657;;;;;-0.156987;;;;;;;;;;;;
