Date,Open,High,Low,Close,Volume,Return,MA7,MA21,MA50,MA200,Volatility30,Momentum7
2014-09-17,465.86,468.17,452.42,457.33,21056800,,,,,,,
2014-09-18,456.86,456.86,413.1,424.44,34483200,-0.0719,,,,,,
2014-09-19,424.1,427.83,384.53,394.8,37919700,-0.0698,,,,,,
2014-09-20,394.67,423.3,389.88,408.9,36863600,0.0357,,,,,,
2014-09-21,408.08,412.43,393.18,398.82,26580100,-0.0247,,,,,,
2014-09-22,399.1,406.92,397.13,402.15,24127600,0.0084,,,,,,
2014-09-23,402.09,441.56,396.2,435.79,45099500,0.0836,417.46,,,,,
2014-09-24,435.75,436.11,421.13,423.2,30627700,-0.0289,412.59,,,,,-0.0676
2014-09-25,423.16,423.52,409.47,411.57,26814400,-0.0275,410.75,,,,,-0.0231
2014-09-26,411.43,414.94,400.01,404.42,21460800,-0.0174,412.12,,,,,0.0293
2014-09-27,403.56,406.62,397.37,399.52,15029300,-0.0121,410.78,,,,,-0.0185
2014-09-28,399.47,401.02,374.33,377.18,23613300,-0.0559,407.69,,,,,-0.0498
2014-09-29,376.93,385.21,372.24,375.47,32497700,-0.0045,403.88,,,,,-0.0627
2014-09-30,376.09,390.98,373.44,386.94,34707300,0.0306,396.9,,,,,-0.1158
2014-10-01,387.43,391.38,380.78,383.61,26229400,-0.0086,391.25,,,,,-0.0955
2014-10-02,383.99,385.5,372.95,375.07,21777700,-0.0223,386.03,,,,,-0.0903
2014-10-03,375.18,377.7,357.86,359.51,30901200,-0.0415,379.62,,,,,-0.1144
2014-10-04,359.89,364.49,325.89,328.87,47236500,-0.0852,369.52,,,,,-0.1875
2014-10-05,328.92,341.8,289.3,320.51,83308096,-0.0254,361.43,,,,,-0.157
2014-10-06,320.39,345.13,302.56,330.08,79011800,0.0299,354.94,,,,,-0.1226
2014-10-07,330.58,339.25,320.48,336.19,49199900,0.0185,347.69,387.35,,,,-0.1347
2014-10-08,336.12,354.36,327.19,352.94,54736300,0.0498,343.31,382.38,,,,-0.0762
2014-10-09,352.75,382.73,347.69,365.03,83641104,0.0342,341.87,379.55,,,,-0.0197
2014-10-10,364.69,375.07,352.96,361.56,43665700,-0.0095,342.17,377.97,,,,0.0123
2014-10-11,361.36,367.19,355.95,362.3,13345200,0.002,346.94,375.75,,,,0.0996
2014-10-12,362.61,379.43,356.14,378.55,17552800,0.0449,355.23,374.78,,,,0.1698
2014-10-13,377.92,397.23,368.9,390.41,35221400,0.0313,363.85,374.23,,,,0.1713
2014-10-14,391.69,411.7,391.32,400.87,38491500,0.0268,373.09,372.56,,,,0.1796
2014-10-15,400.95,402.23,388.77,394.77,25267100,-0.0152,379.07,371.21,,,,0.1146
2014-10-16,394.52,398.81,373.07,382.56,26990000,-0.0309,381.57,369.83,,,,0.0494
2014-10-17,382.76,385.48,375.39,383.76,13600700,0.0031,384.75,368.84,,,0.0391,0.062
2014-10-18,383.98,395.16,378.97,391.44,11416800,0.02,388.91,368.46,,,0.0373,0.08
2014-10-19,391.25,393.94,386.46,389.55,5914570,-0.0048,390.48,369.05,,,0.035,0.0303
2014-10-20,389.23,390.08,378.25,382.85,16419000,-0.0172,389.4,369.4,,,0.0345,-0.0183
2014-10-21,382.42,392.65,380.83,386.48,14188900,0.0095,387.34,369.38,,,0.0343,-0.0356
2014-10-22,386.12,388.58,382.25,383.16,11641300,-0.0086,385.68,369.35,,,0.0343,-0.0289
2014-10-23,382.96,385.05,356.45,358.42,26456900,-0.0646,382.23,368.56,,,0.0323,-0.0626
2014-10-24,358.59,364.35,353.3,358.35,15585700,-0.0002,378.6,368.51,,,0.032,-0.0659
2014-10-25,358.61,359.86,342.88,347.27,18127500,-0.0309,372.29,369.38,,,0.0321,-0.1168
2014-10-26,347.49,359.22,343.93,354.7,11272500,0.0214,367.32,371.01,,,0.0323,-0.0906
2014-10-27,354.78,358.63,349.81,352.99,13033000,-0.0048,363.05,372.1,,,0.0323,-0.0782
2014-10-28,353.21,359.98,352.68,357.62,7845880,0.0131,358.93,373.12,,,0.0309,-0.0746
2014-10-29,357.09,357.83,335.34,335.59,18192700,-0.0616,352.13,372.3,,,0.0328,-0.1276
2014-10-30,335.71,350.91,335.07,345.3,30177900,0.0289,350.26,371.36,,,0.0327,-0.0341
2014-10-31,345.01,348.05,337.14,338.32,12545400,-0.0202,347.4,370.25,,,0.0329,-0.0541
