horizon,model,mse,rmse,mae,r2
1d,naive,1782175.482226407,1334.9814538885576,838.0699749911473,0.9951615114932856
1d,ridge,1795340.3903234468,1339.903127216086,837.6729893436185,0.9951257696389313
1d,elasticnet,1804209.2865138962,1343.2085789310222,839.768849015986,0.9951016911726339
1d,lasso,1813280.1385478007,1346.5809067960977,846.0925769838833,0.9950770644095851
1d,linear,1820276.583037652,1349.1762609228092,847.1702489777615,0.9950580695257537
1d,random_forest,28797315.832275342,5366.3130576099775,2420.7903452134606,0.9218171930495731
1d,svr_rbf,547518438.1317831,23399.11190904012,15407.432680747585,-0.48647632993210754
30d,naive,69312589.96075805,8325.418305452167,5713.2666762570825,0.8456274945094574
30d,elasticnet,97942632.78080988,9896.597030333704,6912.295635062908,0.7818628675501248
30d,ridge,98384092.75941044,9918.875579389553,6932.757969606307,0.7808796510376708
30d,lasso,100320251.31597146,10015.999766172694,7021.971273865245,0.7765674525240602
30d,linear,100328095.04966655,10016.391318716864,7022.591557885975,0.7765499830163763
30d,random_forest,361722073.575709,19018.99244375761,14403.958418226954,0.19437518031383805
30d,svr_rbf,835701657.5853349,28908.504935145556,21171.054172445307,-0.8612687651274824
365d,naive,1666446689.672765,40822.1348005315,38589.4210450602,-2.1359422740003198
365d,random_forest,3961730895.9329324,62942.28225869263,55328.47499610966,-6.4552396255825375
365d,lasso,4195585244.5493193,64773.3374510633,60779.42164685331,-6.895309951461934
365d,linear,4197388154.719126,64787.25302649532,60791.99847109698,-6.898702692587564
365d,ridge,4280693001.685109,65427.00514073,61395.68006342867,-7.055466898036615
365d,elasticnet,4300684337.514747,65579.60306005784,61535.36104370508,-7.093086868438554
365d,svr_rbf,4380716405.760374,66186.98063637874,60615.3322004431,-7.2436923139307385
7d,naive,12842596.584116144,3583.656873099899,2419.1094994909704,0.9665935594674328
7d,ridge,14016061.025280172,3743.803016356519,2542.1833179068217,0.9635411183342033
7d,elasticnet,14022843.44494034,3744.7087263150843,2539.36282002731,0.9635234757572088
7d,lasso,14035800.769659631,3746.438411299408,2555.210886535306,0.9634897708833648
7d,linear,14044380.283572137,3747.5832590580476,2556.274423238953,0.9634674536658583
7d,random_forest,109485391.20026326,10463.526709492515,6751.708848578405,0.7152042278708567
7d,svr_rbf,608584639.9592142,24669.508303961273,16684.47570407572,-0.5830635534387563
90d,naive,265336921.43881866,16289.165768657973,11839.891092532755,0.5363546295001766
90d,elasticnet,532126336.96262175,23067.86372776252,18405.432445536422,0.07017119473651257
90d,ridge,533486086.3489398,23097.317730614086,18433.011601790775,0.0677951910330411
90d,lasso,539212037.7102522,23220.939638831416,18547.36571555947,0.05778975784272744
90d,linear,539228471.2750777,23221.293488414416,18547.753052972585,0.057761042101959426
90d,random_forest,795605118.3515748,28206.4729867379,21722.10418580139,-0.39022729241519305
90d,svr_rbf,1367604154.7900283,36981.13241627449,29690.016390816025,-1.3897289966520066
